slug,title,author,isbn,status,first_published,date_updated,notes
10-04,10:04,Ben Lerner,9780374711344,want,2014,,
1001-arabian-nights,1001 Arabian Nights,Scheherazade,9780141943503,read,2010,,
1491,1491,Charles C. Mann,9780307278180,read,2005,,
1493,1493,Charles C. Mann,9780307265722,want,2011,,
1776,1776,David McCullough,9789571344942,read,2005,,
1984,1984,George Orwell,,read,,,
1q84,1Q84,Haruki Murakami,9780385669443,want,2009,,
20000-leagues-under-the-sea,"20,000 Leagues Under the Sea",Jules Verne,,read,1870,,
2001-a-space-odyssey,2001: A Space Odyssey,Arthur C. Clarke,1405882360,read,1968,,
23-things-they-dont-tell-you-about-capitalism,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,9781608193387,read,2010,,
2312,2312,Kim Stanley Robinson,9780748126446,want,2012,,
2666,2666,Roberto Bolaño,9780374100148,read,2004,,
a-bid-for-fortune,A Bid for Fortune,Guy Newell 1867-1905 Boothby,1360581111,read,2016,,
a-brief-history-of-equality,A Brief History of Equality,Thomas Piketty,9780674275881,read,2022,,
a-brief-history-of-time,A Brief History of Time,Stephen Hawking,9780553896923,read,1988,,
a-bug-hunter-s-diary,A Bug Hunter's Diary,Tobias Klein,9781593274153,read,2011,,
a-canticle-for-leibowitz,A Canticle for Leibowitz,Walter M. Miller Jr.,,read,1959,,
a-christmas-carol,A Christmas Carol,Charles Dickens,0486209806,read,1843,,
a-civil-campaign,A Civil Campaign,Lois McMaster Bujold,9780671578855,read,1999,,
a-clash-of-kings,A Clash of Kings,George R.R. Martin,9780553108033,read,1998,,
a-clockwork-orange,A Clockwork Orange,Anthony Burgess,,read,1962,,
a-closed-and-common-orbit,A Closed and Common Orbit,Becky Chambers,9780062569424,read,2016,,
a-coney-island-of-the-mind,A Coney Island of the Mind,Lawrence Ferlinghetti,0811200418,read,1958,,
a-confession,A Confession,Frances Hunter,0917726375,read,1980,,
a-connecticut-yankee-in-king-arthur-s-court,A Connecticut Yankee in King Arthur's Court,Mark Twain,9780553901573,read,2005,,
a-country-gentleman-and-his-family,A Country Gentleman and His Family,Margaret Oliphant,,read,2010,,
a-course-in-arithmetic,A Course in Arithmetic,Jean-Pierre Serre,,read,1973,,
a-crown-of-swords,A Crown of Swords,Robert Jordan,,read,,,
a-cycle-of-the-west,A Cycle of the West,John Gneisenau Neihardt,080323323X,read,1991,,
a-damsel-in-distress,A Damsel in Distress,P. G. Wodehouse,1600962653,read,2008,,
a-dance-with-dragons,A Dance with Dragons,George R.R. Martin,9780553385953,read,2008,,
a-daughter-of-eve,A Daughter of Eve,Goldie Lieberman,9781796098150,read,2008,,
a-daughter-of-the-samurai,A Daughter of the Samurai,Etsu Inagaki Sugimoto,9780593242674,read,2021,,
a-day-of-fallen-night,A Day of Fallen Night,Samantha Shannon,9781635577938,read,2023,,
a-deadly-education,A Deadly Education,Naomi Novik,9780593128497,read,2020,,
a-deepness-in-the-sky,A Deepness in the Sky,Vernor Vinge,9781429915090,read,1999,,
a-desolation-called-peace,A Desolation Called Peace,Arkady Martine,9781250186485,read,2021,,
a-discipline-of-programming,A Discipline of Programming,Edsger W. Dijkstra,,read,1976,,
a-distant-mirror,A Distant Mirror,Barbara Tuchman,9780345349576,read,1600,,
a-dolls-house,A Doll's House,Henrik Ibsen,9781770489196,read,1889,,
a-door-into-ocean,A Door into Ocean,Joan Slonczewski,9780312876524,read,1986,,
a-dream-play,A Dream Play,August Strindberg,,read,1935,,
a-farewell-to-arms,A Farewell to Arms,Ernest Hemingway,9782384613984,read,1929,,
a-feast-for-crows,A Feast for Crows,George R.R. Martin,9780553582024,read,2005,,
a-field-guide-to-getting-lost,A Field Guide to Getting Lost,Rebecca Solnit,9781101118719,read,2005,,
a-fine-balance,A Fine Balance,Rohinton Mistry,9781551991382,read,1995,,
a-fire-upon-the-deep,A Fire Upon the Deep,Vernor Vinge,9781429981989,read,1992,,
a-game-of-thrones,A Game of Thrones,George R.R. Martin,9780553386790,read,1996,,
a-general-history-of-the-pirates,A General History of the Pirates,Daniel Defoe,,read,2023,,
a-general-view-of-positivism,A General View of Positivism,Auguste Comte,,read,2021,,
a-gentleman-of-leisure,A Gentleman of Leisure,P. G. Wodehouse,9783985944392,read,2021,,
a-good-man-is-hard-to-find,A Good Man Is Hard to Find,Flannery O'Connor,9781438108469,read,1955,,
a-grain-of-wheat,A Grain of Wheat,Ngũgĩ wa Thiong'o,0141186992,read,1967,,
a-hazard-of-new-fortunes,A Hazard of New Fortunes,William Dean Howells,9783849657499,read,2020,,
a-head-full-of-ghosts,A Head Full of Ghosts,Paul Tremblay,,want,2015,,
a-hero-of-our-time,A Hero of Our Time,Mikhail Lermontov,0143105639,read,1992,,
a-history-of-religious-ideas,A History of Religious Ideas,Mircea Eliade,,read,1978,,
a-history-of-the-arab-peoples,A History of the Arab Peoples,Albert Hourani,0674010175,read,1991,,
a-history-of-warfare,A History of Warfare,John Keegan,9780307828576,read,1993,,
a-history-of-western-philosophy,A History of Western Philosophy,Bertrand Russell,,read,1945,,
a-i,A.I,"Anjanava Biswas, Wrick Talukdar",9781801079273,read,2025,,
a-journal-of-the-plague-year,A Journal of the Plague Year,Daniel Defoe,9781681951263,read,1895,,
a-judgement-in-stone,A Judgement in Stone,Ruth Rendell,9780307557186,read,1977,,
a-letter-concerning-toleration,A Letter Concerning Toleration,John Locke,0865977909,read,1689,,
a-little-princess,A Little Princess,Frances Hodgson Burnett,9783736809314,read,2019,,
a-man-could-stand-up,A Man Could Stand Up—,Ford Madox Ford,9798796068816,read,2022,,
a-man-lay-dead,A Man Lay Dead,Ngaio Marsh,0312963580,read,1934,,
a-mans-place,A Man's Place,Annie Ernaux,9781609802554,want,2012,,
