Category,Title,Author,Priority
AI,Book of Why,Judea Pearl,1
Biography/Memoir,Cancer Ward,Aleksandr Solzhenitsyn,1
Biography/Memoir,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,1
Biography/Memoir,The Gulag Archipelago,Aleksandr Solzhenitsyn,1
Biography/Memoir,Narrative of the Life of Frederick Douglass,Frederick Douglass,1
Biography/Memoir,The Autobiography of Malcolm X,Malcolm X and Alex Haley,1
Biography/Memoir,I Know Why the Caged Bird Sings,Maya Angelou,1
Biography/Memoir,Long Walk to Freedom,Nelson Mandela,1
Biography/Memoir,If This Is a Man,Primo Levi,1
Biography/Memoir,The Drowned and the Saved,Primo Levi,1
Biography/Memoir,The Periodic Table,Primo Levi,1
Biography/Memoir,Man's Search for Meaning,Viktor E. Frankl,1
Biography/Memoir,A Man's Place,Annie Ernaux,2
Biography/Memoir,The Years,Annie Ernaux,2
Biography/Memoir,The Woman Warrior,Maxine Hong Kingston,2
Classics,Eumenides,Aeschylus,1
Classics,Libation Bearers,Aeschylus,1
Classics,Persians,Aeschylus,1
Classics,Prometheus Bound,Aeschylus,1
Classics,Seven Against Thebes,Aeschylus,1
Classics,Suppliant Women,Aeschylus,1
Classics,Aesop's Fables,Aesop,1
Classics,The Acharnians,Aristophanes,1
Classics,The Birds,Aristophanes,1
Classics,The Clouds,Aristophanes,1
Classics,The Wasps,Aristophanes,1
Classics,Alcestis,Euripides,1
Classics,Electra,Euripides,1
Classics,Helen,Euripides,1
Classics,Heracles,Euripides,1
Classics,Hippolytus,Euripides,1
Classics,Iphigenia in Aulis,Euripides,1
Classics,The Trojan Women,Euripides,1
Classics,The Histories,Herodotus,1
Classics,Homeric Hymns,Homer,1
Classics,Fasti,Ovid,1
Classics,Heroides,Ovid,1
Classics,The Art of Love,Ovid,1
Classics,Moralia,Plutarch,1
Classics,Parallel Lives,Plutarch,1
Classics,Ajax,Sophocles,1
Classics,Electra,Sophocles,1
Classics,Philoctetes,Sophocles,1
Classics,Women of Trachis,Sophocles,1
Classics,The Twelve Caesars,Suetonius,1
Classics,Agricola,Tacitus,1
Classics,Annals,Tacitus,1
Classics,Germania,Tacitus,1
Classics,Histories,Tacitus,1
Classics,History of the Peloponnesian War,Thucydides,1
Classics,Aeneid,Virgil,1
Classics,Eclogues,Virgil,1
Classics,Georgics,Virgil,1
Classics,Anabasis,Xenophon,1
Classics,Cyropaedia,Xenophon,1
Classics,Hellenica,Xenophon,1
Classics,Memorabilia,Xenophon,1
Classics,Argonautica,Apollonius of Rhodes,2
Classics,Poems,Catullus,2
Classics,Ars Poetica,Horace,2
Classics,Epistles,Horace,2
Classics,Odes,Horace,2
Classics,Satires,Horace,2
Classics,Daphnis and Chloe,Longus,2
Classics,Dialogues of the Dead,Lucian,2
Classics,True History,Lucian,2
Classics,Pharsalia,Marcus Annaeus Lucan,2
Classics,Satyricon,Petronius,2
Classics,Odes,Pindar,2
Classics,Poems and Fragments,Sappho,2
Complex Systems,Bursts,Albert-László Barabási,1
Complex Systems,Everything Is Obvious,Duncan J. Watts,1
Complex Systems,Six Degrees,Duncan J. Watts,1
Complex Systems,Order Out of Chaos,Ilya Prigogine and Isabelle Stengers,1
Complex Systems,Chaos,James Gleick,1
Complex Systems,Emergence,John H. Holland,1
Complex Systems,Hidden Order,John H. Holland,1
Complex Systems,Signals and Boundaries,John H. Holland,1
Complex Systems,Artificial Intelligence: A Guide for Thinking Humans,Melanie Mitchell,1
Complex Systems,Complexity: A Guided Tour,Melanie Mitchell,1
Complex Systems,Complexity: The Emerging Science at the Edge of Order and Chaos,Mitchell Waldrop,1
Complex Systems,Nonlinear Dynamics and Chaos,Steven Strogatz,1
Complexity Science,Linked,Albert‑László Barabási,1
Complexity Science,Network Science,Albert‑László Barabási,1
Complexity Science,The Systems View of Life,Capra & Luisi,1
Complexity Science,Thinking in Systems,Donella Meadows,1
Complexity Science,Limits to Growth,Meadows et al.,1
Complexity Science,Complexity,Mitchell Waldrop,1
Complexity Science,Designing Freedom,Stafford Beer,1
Complexity Science,Sync,Steven Strogatz,1
Computer Science,Structure and Interpretation of Computer Programs,Abelson Sussman,1
Computer Science,Operating System Concepts,"Abraham Silberschatz, Peter Galvin, Greg Gagne",1
Computer Science,Compilers: Principles Techniques and Tools,Aho Lam Sethi Ullman,1
Computer Science,"Compilers: Principles, Techniques, and Tools","Aho, Lam, Sethi, and Ullman",1
Computer Science,The Pragmatic Programmer,Andrew Hunt and David Thomas,1
Computer Science,Computer Networks,Andrew S. Tanenbaum,1
Computer Science,Distributed Systems,Andrew S. Tanenbaum,1
Computer Science,Modern Operating Systems,Andrew S. Tanenbaum,1
Computer Science,Structured Computer Organization,Andrew S. Tanenbaum,1
Computer Science,Distributed Systems,Andrew S. Tanenbaum and Maarten Van Steen,1
Computer Science,Computer Networks,Andrew Tanenbaum,1
Computer Science,Distributed Systems,Andrew Tanenbaum,1
Computer Science,Modern Operating Systems,Andrew Tanenbaum,1
Computer Science,The Datacenter as a Computer,Barroso & Holzle,1
Computer Science,Types and Programming Languages,Benjamin Pierce,1
Computer Science,The C Programming Language,Brian W. Kernighan and Dennis M. Ritchie,1
Computer Science,The Practice of Programming,Brian W. Kernighan and Rob Pike,1
Computer Science,The Unix Programming Environment,Brian W. Kernighan and Rob Pike,1
Computer Science,Computer Systems: A Programmer's Perspective,Bryant & O'Hallaron,1
Computer Science,Code,Charles Petzold,1
Computer Science,Pattern Recognition and Machine Learning,Christopher Bishop,1
Computer Science,Introduction to Algorithms,Cormen,1
Computer Science,"Information Theory, Inference, and Learning Algorithms",David MacKay,1
Computer Science,The Pragmatic Programmer,David Thomas and Andrew Hunt,1
Computer Science,Concrete Mathematics,Donald E. Knuth,1
Computer Science,Literate Programming,Donald E. Knuth,1
Computer Science,Selected Papers on Computer Science,Donald E. Knuth,1
Computer Science,Surreal Numbers,Donald E. Knuth,1
Computer Science,"The Art of Computer Programming, Volume 1",Donald E. Knuth,1
Computer Science,"The Art of Computer Programming, Volume 2",Donald E. Knuth,1
Computer Science,"The Art of Computer Programming, Volume 3",Donald E. Knuth,1
Computer Science,"The Art of Computer Programming, Volume 4A",Donald E. Knuth,1
Computer Science,The Art of Computer Programming Vol 4B,Donald Knuth,1
Computer Science,Concrete Mathematics,Donald Knuth and Ronald Graham and Oren Patashnik,1
Computer Science,The Design of Everyday Things,Donald Norman,1
Computer Science,"Gödel, Escher, Bach",Douglas Hofstadter,1
Computer Science,I Am a Strange Loop,Douglas Hofstadter,1
Computer Science,A Discipline of Programming,Edsger W. Dijkstra,1
Computer Science,Notes on Structured Programming,Edsger W. Dijkstra,1
Computer Science,Selected Writings on Computing,Edsger W. Dijkstra,1
Computer Science,Design Patterns,Erich Gamma et al.,1
Computer Science,Mythical Man Month,Fred Brooks,1
Computer Science,No Silver Bullet,Fred Brooks,1
Computer Science,The Mythical Man-Month,Fred Brooks,1
Computer Science,Structure and Interpretation of Computer Programs,Harold Abelson and Gerald Jay Sussman,1
Computer Science,Godel Escher Bach,Hofstadter,1
Computer Science,Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",1
Computer Science,"Introduction to Automata Theory, Languages, and Computation","John Hopcroft, Rajeev Motwani, Jeffrey Ullman",1
Computer Science,Programming Pearls,Jon Bentley,1
Computer Science,Algorithm Design,Jon Kleinberg and Éva Tardos,1
Computer Science,Causality,Judea Pearl,1
Computer Science,Probabilistic Reasoning in Intelligent Systems,Judea Pearl,1
Computer Science,The Book of Why,Judea Pearl,1
Computer Science,Art of Computer Programming Vol1,Knuth,1
Computer Science,Art of Computer Programming Vol2,Knuth,1
Computer Science,Art of Computer Programming Vol3,Knuth,1
Computer Science,Patterns of Enterprise Application Architecture,Martin Fowler,1
Computer Science,Refactoring,Martin Fowler,1
Computer Science,Designing Data-Intensive Applications,Martin Kleppmann,1
Computer Science,The Art of Multiprocessor Programming,Maurice Herlihy and Nir Shavit,1
Computer Science,Working Effectively with Legacy Code,Michael Feathers,1
Computer Science,Programming Language Pragmatics,Michael Scott,1
Computer Science,Introduction to the Theory of Computation,Michael Sipser,1
Computer Science,Distributed Algorithms,Nancy A. Lynch,1
Computer Science,Code: The Hidden Language of Computer Hardware and Software,Petzold,1
Computer Science,Operating System Concepts,Silberschatz et al.,1
Computer Science,Code Complete,Steve McConnell,1
Computer Science,Rapid Development,Steve McConnell,1
Computer Science,The Algorithm Design Manual,Steven Skiena,1
Computer Science,Artificial Intelligence: A Modern Approach,Stuart Russell and Peter Norvig,1
Computer Science,Introduction to Algorithms,Thomas H. Cormen et al.,1
Computer Science,Elements of Information Theory,Thomas M. Cover and Joy A. Thomas,1
Computer Science,The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",1
Computer Science,Advanced Programming in the UNIX Environment,W. Richard Stevens,1
Computer Science,"TCP/IP Illustrated, Volume 1",W. Richard Stevens,1
Computer Science,"UNIX Network Programming, Volume 1",W. Richard Stevens,1
Computer Science,Designing the User Interface,Ben Shneiderman,2
Computer Science,A Tour of C++,Bjarne Stroustrup,2
Computer Science,The C++ Programming Language,Bjarne Stroustrup,2
Computer Science,Programming with POSIX Threads,Butenhof,2
Computer Science,Microservices Patterns,Chris Richardson,2
Computer Science,JavaScript: The Good Parts,Douglas Crockford,2
Computer Science,The Art of Unix Programming,Eric S. Raymond,2
Computer Science,The Cathedral and the Bazaar,Eric S. Raymond,2
Computer Science,Distributed Systems: Concepts and Design,George Coulouris et al.,2
